# time(days) eclipse_dt(seconds) gw_freq(hertz)
1.607493294258368451e+03 -5.073476950281474274e+02 4.821734334396274822e-03
1.615974681693727462e+03 -5.127155109374143649e+02 4.821734520263270228e-03
1.627005021017291256e+03 -5.197387986008834559e+02 4.821734761989800513e-03
1.635290096674024880e+03 -5.250455296489235479e+02 4.821734943554741547e-03
1.642699152217473056e+03 -5.298139850383449811e+02 4.821735105921987931e-03
1.653129143745957208e+03 -5.365632408102101181e+02 4.821735334492178483e-03
1.661116321465866804e+03 -5.417606315553712193e+02 4.821735509528852874e-03
1.669064897027531742e+03 -5.469577728865260724e+02 4.821735683719594566e-03
1.679249257005993741e+03 -5.536530304867483210e+02 4.821735906906941642e-03
1.691154846775168153e+03 -5.615314706497883890e+02 4.821736167814595631e-03
1.703269704611265297e+03 -5.696055280881409999e+02 4.821736433308353685e-03
1.712517605231840434e+03 -5.758076647107372992e+02 4.821736635973574228e-03
1.724369608438546038e+03 -5.838053514467901550e+02 4.821736895707038131e-03
1.732880477219292288e+03 -5.895824801591516007e+02 4.821737082220471302e-03
1.742512356999498024e+03 -5.961548547238635365e+02 4.821737293300595167e-03
1.757284487674239699e+03 -6.063054924539756030e+02 4.821737617028036722e-03
1.768615242044008937e+03 -6.141494662573677488e+02 4.821737865338656184e-03
1.775284062942711671e+03 -6.187896777817513794e+02 4.821738011484204105e-03
1.781248315701463071e+03 -6.229544395348057151e+02 4.821738142189330514e-03
1.788273453802782797e+03 -6.278779203646990936e+02 4.821738296143514117e-03
1.800565377691905724e+03 -6.365391821993398480e+02 4.821738565518061959e-03
1.806662071215407877e+03 -6.408571087085874751e+02 4.821738699125652228e-03
1.818028584491153651e+03 -6.489463085003080778e+02 4.821738948220123840e-03
1.825209106140097219e+03 -6.540826141092111357e+02 4.821739105579595647e-03
1.834802069804932216e+03 -6.609761583196814172e+02 4.821739315807205273e-03
1.845047753190799995e+03 -6.683786576235434040e+02 4.821739540339057585e-03
1.854607857802992157e+03 -6.753230027286917903e+02 4.821739749846639007e-03
1.861780069816250261e+03 -6.805563736052135937e+02 4.821739907024102760e-03
1.869799731876586975e+03 -6.864320268025039695e+02 4.821740082773272318e-03
1.880873530978232793e+03 -6.945868251103092916e+02 4.821740325453237851e-03
1.892410816082349129e+03 -7.031341558802523650e+02 4.821740578290447353e-03
1.899628075525789200e+03 -7.085075964918360114e+02 4.821740736455215962e-03
1.909741064129521874e+03 -7.160713945406314451e+02 4.821740958079329988e-03
1.921078429744837194e+03 -7.245986877358518541e+02 4.821741206535464994e-03
1.932850439958152037e+03 -7.335063075872312766e+02 4.821741464516800940e-03
1.940685049796058820e+03 -7.394647434266516939e+02 4.821741636210794164e-03
1.950539621326152201e+03 -7.469936412737297360e+02 4.821741852171897331e-03
1.960101022933786680e+03 -7.543350063875550404e+02 4.821742061708270827e-03
1.972768700749389154e+03 -7.641166969558980782e+02 4.821742339318171172e-03
1.981444081904806580e+03 -7.708519815358158667e+02 4.821742529437636482e-03
1.989237963524084080e+03 -7.769281005137600005e+02 4.821742700239216826e-03
2.000266598716820454e+03 -7.855667945259483531e+02 4.821742941929905123e-03
2.008825609381572349e+03 -7.923039560759207234e+02 4.821743129499216768e-03
